Puzzles,Avg_Times (Seconds),Count of Solutions Found
1,0.012276305999999976,100
2,0.011966265000002635,100
3,0.011619882999996776,100
4,0.011895796000001724,100
5,0.012099378000003184,100
6,0.011406023000000686,100
7,0.011944588999999723,100
8,0.011898440000001074,100
9,0.011890806000001248,100
10,0.011851243999994949,100
11,0.011951229999996826,100
12,0.011827248999998687,100
13,0.011859697000000438,100
14,0.011819237999997654,100
15,0.01182427799999573,100
16,0.011776328000005378,100
17,0.01151889300000164,100
18,0.011824665999998842,100
19,0.011835165000003372,100
20,0.01183017699999823,100
21,0.011988848000000303,100
22,0.012223133000002804,100
23,0.011592617000000588,100
24,0.012282700999998042,100
25,0.011726764000000571,100
26,0.011843762000000311,100
27,0.011881067000003328,100
28,0.012034296000001063,100
29,0.0121005160000027,100
30,0.01178887199999906,100
