Puzzles,Avg_Times,Count of Solutions Found
1,4.151818297825931,46
2,4.219160396874841,32
3,4.082734567741939,62
4,3.9567141850000596,40
5,4.212825250000023,16
6,3.8579859849461915,93
7,4.222632399999772,17
8,3.877273451388886,72
9,4.116037894736925,38
10,4.161106058333288,24
11,4.165984783333468,30
12,4.055033595312444,64
13,4.2579136818181835,22
14,3.91034196615377,65
15,4.036170491176567,34
16,4.142141295833328,24
17,4.058749596153689,26
18,4.188718408333254,12
19,4.330951200000072,8
20,4.206268596874953,32
21,4.484431550000181,2
22,4.240778683333171,12
23,4.2128891823529635,17
24,4.2059497476192025,21
25,4.035021582926874,82
26,4.031736791071471,56
27,4.1417614894735575,19
28,4.169841573684395,38
29,3.6814758189473853,95
30,4.209677942857199,21
