Puzzles,Times,Count of Solutions Found
1,0.2493618821428623,56
2,0.21634782121211696,33
3,0.23183908028169392,71
4,0.2182024156250013,32
5,0.23029882142856398,14
6,0.14458783428571767,70
7,0.21044603888888413,18
8,0.1329707093750031,32
9,0.22111794390245243,41
10,0.2520369652173975,23
11,0.23411319722221385,36
12,0.17390148837209865,43
13,0.2660569923077023,26
14,0.17455640408163672,49
15,0.2300431333333361,36
16,0.20025115517241893,29
17,0.18131814999999205,24
18,0.25247458421053076,19
19,0.19180862222224468,9
20,0.20003344117646757,51
21,0.20766870000001605,11
22,0.2721584249999926,28
23,0.24962902777778753,18
24,0.1834121142856969,7
25,0.15284840405405367,74
26,0.2052971795918374,49
27,0.20321088947368418,19
28,0.20848187241380575,29
29,0.15349104137930927,58
30,0.23434841481481203,27
